,name,classname,x1,y1,x2,y2,image
0,maksssksksss299.png,face_no_mask,62,194,160,320,"[[[143 151 140]
  [146 150 143]
  [143 145 139]
  ...
  [164 166 149]
  [166 166 150]
  [168 168 151]]

 [[145 154 142]
  [144 148 141]
  [145 147 141]
  ...
  [166 167 151]
  [166 168 150]
  [168 168 151]]

 [[145 151 143]
  [143 147 141]
  [145 147 142]
  ...
  [167 168 151]
  [169 169 152]
  [170 170 155]]

 ...

 [[ 43  53  62]
  [ 52  60  72]
  [ 59  67  78]
  ...
  [ 19  27  26]
  [ 17  26  24]
  [ 17  25  23]]

 [[ 44  45  51]
  [ 43  42  51]
  [ 43  44  53]
  ...
  [ 20  29  27]
  [ 19  28  27]
  [ 19  29  27]]

 [[ 37  39  47]
  [ 38  40  47]
  [ 39  43  48]
  ...
  [ 19  29  27]
  [ 13  23  19]
  [  8  15  12]]]"
1,maksssksksss528.png,face_no_mask,43,169,149,308,"[[[207 221 225]
  [208 219 227]
  [209 220 228]
  ...
  [216 205 177]
  [216 204 178]
  [218 205 180]]

 [[208 222 227]
  [209 220 228]
  [210 220 229]
  ...
  [214 203 175]
  [214 203 175]
  [214 205 176]]

 [[210 222 229]
  [210 220 229]
  [211 221 230]
  ...
  [215 205 177]
  [215 204 176]
  [216 205 178]]

 ...

 [[ 32  37  34]
  [ 31  35  34]
  [ 33  38  39]
  ...
  [175 169 149]
  [173 167 147]
  [172 164 145]]

 [[ 31  36  33]
  [ 30  34  35]
  [ 35  40  43]
  ...
  [169 164 143]
  [167 161 141]
  [166 160 141]]

 [[ 24  32  26]
  [ 30  35  33]
  [ 36  43  43]
  ...
  [160 160 134]
  [162 162 137]
  [164 164 139]]]"
2,maksssksksss272.png,mask_weared_incorrect,48,107,218,304,"[[[234 222 216]
  [235 223 216]
  [235 223 216]
  ...
  [228 216 209]
  [227 215 208]
  [227 215 209]]

 [[238 226 219]
  [233 221 214]
  [234 222 215]
  ...
  [229 216 210]
  [229 217 210]
  [229 217 210]]

 [[236 224 217]
  [235 223 217]
  [235 223 217]
  ...
  [227 215 208]
  [227 215 209]
  [227 215 209]]

 ...

 [[ 32  88 187]
  [ 31  88 189]
  [ 35  94 195]
  ...
  [ 70 159 225]
  [ 71 160 226]
  [ 71 160 226]]

 [[ 33  88 188]
  [ 30  87 188]
  [ 38  97 199]
  ...
  [ 70 159 224]
  [ 70 159 225]
  [ 70 159 225]]

 [[ 30  85 185]
  [ 33  90 191]
  [ 29  86 188]
  ...
  [ 68 157 221]
  [ 69 158 223]
  [ 69 158 223]]]"
3,maksssksksss514.png,face_with_mask,28,78,43,99,"[[[213 210 209]
  [212 210 210]
  [210 211 209]
  ...
  [131 135 137]
  [ 98 100  97]
  [100 100  93]]

 [[210 211 208]
  [210 210 209]
  [210 210 209]
  ...
  [145 146 151]
  [113 114 114]
  [104 103 100]]

 [[210 211 209]
  [210 211 209]
  [210 210 209]
  ...
  [120 115 117]
  [116 115 116]
  [109 106 104]]

 ...

 [[ 16  19  24]
  [ 19  21  29]
  [ 20  22  30]
  ...
  [192 195 198]
  [192 195 198]
  [191 195 198]]

 [[ 16  19  24]
  [ 19  20  29]
  [ 20  21  31]
  ...
  [193 197 200]
  [193 197 199]
  [192 197 199]]

 [[ 16  19  24]
  [ 19  21  30]
  [ 20  22  31]
  ...
  [193 198 201]
  [193 198 201]
  [193 198 200]]]"
4,maksssksksss514.png,face_with_mask,160,66,176,83,"[[[213 210 209]
  [212 210 210]
  [210 211 209]
  ...
  [131 135 137]
  [ 98 100  97]
  [100 100  93]]

 [[210 211 208]
  [210 210 209]
  [210 210 209]
  ...
  [145 146 151]
  [113 114 114]
  [104 103 100]]

 [[210 211 209]
  [210 211 209]
  [210 210 209]
  ...
  [120 115 117]
  [116 115 116]
  [109 106 104]]

 ...

 [[ 16  19  24]
  [ 19  21  29]
  [ 20  22  30]
  ...
  [192 195 198]
  [192 195 198]
  [191 195 198]]

 [[ 16  19  24]
  [ 19  20  29]
  [ 20  21  31]
  ...
  [193 197 200]
  [193 197 199]
  [192 197 199]]

 [[ 16  19  24]
  [ 19  21  30]
  [ 20  22  31]
  ...
  [193 198 201]
  [193 198 201]
  [193 198 200]]]"
5,maksssksksss514.png,face_with_mask,174,33,186,52,"[[[213 210 209]
  [212 210 210]
  [210 211 209]
  ...
  [131 135 137]
  [ 98 100  97]
  [100 100  93]]

 [[210 211 208]
  [210 210 209]
  [210 210 209]
  ...
  [145 146 151]
  [113 114 114]
  [104 103 100]]

 [[210 211 209]
  [210 211 209]
  [210 210 209]
  ...
  [120 115 117]
  [116 115 116]
  [109 106 104]]

 ...

 [[ 16  19  24]
  [ 19  21  29]
  [ 20  22  30]
  ...
  [192 195 198]
  [192 195 198]
  [191 195 198]]

 [[ 16  19  24]
  [ 19  20  29]
  [ 20  21  31]
  ...
  [193 197 200]
  [193 197 199]
  [192 197 199]]

 [[ 16  19  24]
  [ 19  21  30]
  [ 20  22  31]
  ...
  [193 198 201]
  [193 198 201]
  [193 198 200]]]"
6,maksssksksss514.png,face_with_mask,202,40,216,59,"[[[213 210 209]
  [212 210 210]
  [210 211 209]
  ...
  [131 135 137]
  [ 98 100  97]
  [100 100  93]]

 [[210 211 208]
  [210 210 209]
  [210 210 209]
  ...
  [145 146 151]
  [113 114 114]
  [104 103 100]]

 [[210 211 209]
  [210 211 209]
  [210 210 209]
  ...
  [120 115 117]
  [116 115 116]
  [109 106 104]]

 ...

 [[ 16  19  24]
  [ 19  21  29]
  [ 20  22  30]
  ...
  [192 195 198]
  [192 195 198]
  [191 195 198]]

 [[ 16  19  24]
  [ 19  20  29]
  [ 20  21  31]
  ...
  [193 197 200]
  [193 197 199]
  [192 197 199]]

 [[ 16  19  24]
  [ 19  21  30]
  [ 20  22  31]
  ...
  [193 198 201]
  [193 198 201]
  [193 198 200]]]"
7,maksssksksss514.png,face_no_mask,237,41,248,58,"[[[213 210 209]
  [212 210 210]
  [210 211 209]
  ...
  [131 135 137]
  [ 98 100  97]
  [100 100  93]]

 [[210 211 208]
  [210 210 209]
  [210 210 209]
  ...
  [145 146 151]
  [113 114 114]
  [104 103 100]]

 [[210 211 209]
  [210 211 209]
  [210 210 209]
  ...
  [120 115 117]
  [116 115 116]
  [109 106 104]]

 ...

 [[ 16  19  24]
  [ 19  21  29]
  [ 20  22  30]
  ...
  [192 195 198]
  [192 195 198]
  [191 195 198]]

 [[ 16  19  24]
  [ 19  20  29]
  [ 20  21  31]
  ...
  [193 197 200]
  [193 197 199]
  [192 197 199]]

 [[ 16  19  24]
  [ 19  21  30]
  [ 20  22  31]
  ...
  [193 198 201]
  [193 198 201]
  [193 198 200]]]"
8,maksssksksss514.png,mask_weared_incorrect,249,44,266,66,"[[[213 210 209]
  [212 210 210]
  [210 211 209]
  ...
  [131 135 137]
  [ 98 100  97]
  [100 100  93]]

 [[210 211 208]
  [210 210 209]
  [210 210 209]
  ...
  [145 146 151]
  [113 114 114]
  [104 103 100]]

 [[210 211 209]
  [210 211 209]
  [210 210 209]
  ...
  [120 115 117]
  [116 115 116]
  [109 106 104]]

 ...

 [[ 16  19  24]
  [ 19  21  29]
  [ 20  22  30]
  ...
  [192 195 198]
  [192 195 198]
  [191 195 198]]

 [[ 16  19  24]
  [ 19  20  29]
  [ 20  21  31]
  ...
  [193 197 200]
  [193 197 199]
  [192 197 199]]

 [[ 16  19  24]
  [ 19  21  30]
  [ 20  22  31]
  ...
  [193 198 201]
  [193 198 201]
  [193 198 200]]]"
9,maksssksksss514.png,face_with_mask,298,38,311,54,"[[[213 210 209]
  [212 210 210]
  [210 211 209]
  ...
  [131 135 137]
  [ 98 100  97]
  [100 100  93]]

 [[210 211 208]
  [210 210 209]
  [210 210 209]
  ...
  [145 146 151]
  [113 114 114]
  [104 103 100]]

 [[210 211 209]
  [210 211 209]
  [210 210 209]
  ...
  [120 115 117]
  [116 115 116]
  [109 106 104]]

 ...

 [[ 16  19  24]
  [ 19  21  29]
  [ 20  22  30]
  ...
  [192 195 198]
  [192 195 198]
  [191 195 198]]

 [[ 16  19  24]
  [ 19  20  29]
  [ 20  21  31]
  ...
  [193 197 200]
  [193 197 199]
  [192 197 199]]

 [[ 16  19  24]
  [ 19  21  30]
  [ 20  22  31]
  ...
  [193 198 201]
  [193 198 201]
  [193 198 200]]]"
